MAT	<p>b36d_5b82</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele
MAT	<p>b36d_3f02</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes
MAT	<p>b36d_3b3c</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype
MAT	<p>b36d_8666</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes
MAT	<p>b36d_ccbf</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes
MAT	<p>b36d_a3ab</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype
MAT	<p>b36d_fa19</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes
MAT	<p>b36d_9205</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes
MAT	<p>b36d_9c45</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype
MAT	<p>b36d_f8e4</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele
MAT	<p>b36d_7a4e</p> <p>Match each of the following inheritance patterns with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">complete dominance</span>	one allele masks the effect of another allele	<span style="color: #9a3740;">codominance</span>	heterozygotes equally express both alleles in the phenotype	<span style="color: #7142a7;">incomplete dominance</span>	heterozygote appearance is a blended phenotype of both homozygous phenotypes	<span style="color: #006e58;">epistasis</span>	one gene suppresses the effect of another gene that is<strong> <strong>NOT</strong> </strong>its allele
